record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
12170,1,31,1987,16,RM,F,15,11,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
12171,1,31,1987,24,DM,M,35,45,Dipodomys,merriami,Rodent,Rodent Exclosure
12172,1,31,1987,21,PM,NA,NA,NA,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
12173,1,31,1987,20,OL,M,19,38,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
12174,1,31,1987,14,DM,M,35,49,Dipodomys,merriami,Rodent,Control
12175,1,31,1987,18,PE,F,20,25,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
12176,1,31,1987,24,RM,M,16,11,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
12177,1,31,1987,14,DM,F,34,41,Dipodomys,merriami,Rodent,Control
12178,1,31,1987,16,RM,F,15,7,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
12179,1,31,1987,14,OL,M,20,32,Onychomys,leucogaster,Rodent,Control
12180,1,31,1987,24,DM,F,34,38,Dipodomys,merriami,Rodent,Rodent Exclosure
12181,1,31,1987,6,DM,M,36,43,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
12182,1,31,1987,12,OT,M,19,24,Onychomys,torridus,Rodent,Control
12183,1,31,1987,18,RM,M,17,10,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
12184,1,31,1987,12,OL,F,19,25,Onychomys,leucogaster,Rodent,Control
12185,1,31,1987,6,DM,F,35,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
12186,1,31,1987,12,NL,F,33,164,Neotoma,albigula,Rodent,Control
12187,1,31,1987,18,DM,M,35,48,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
12188,1,31,1987,24,DM,M,35,43,Dipodomys,merriami,Rodent,Rodent Exclosure
12189,1,31,1987,18,PE,M,19,27,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
12190,1,31,1987,21,RM,F,17,14,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
12191,1,31,1987,12,RM,M,16,12,Reithrodontomys,megalotis,Rodent,Control
12192,1,31,1987,20,RM,F,15,9,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure
12193,1,31,1987,24,RM,F,15,11,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
12194,1,31,1987,17,RM,F,16,15,Reithrodontomys,megalotis,Rodent,Control
12195,1,31,1987,17,RM,M,16,9,Reithrodontomys,megalotis,Rodent,Control
12196,1,31,1987,24,DM,M,34,26,Dipodomys,merriami,Rodent,Rodent Exclosure
12197,1,31,1987,22,RM,F,15,8,Reithrodontomys,megalotis,Rodent,Control
12198,1,31,1987,21,PM,M,19,26,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
