record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
3686,1,11,1981,11,DM,M,36,34,Dipodomys,merriami,Rodent,Control
3687,1,11,1981,20,PE,F,19,19,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
3688,1,11,1981,13,DM,M,36,49,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
3689,1,11,1981,8,DS,M,50,140,Dipodomys,spectabilis,Rodent,Control
3690,1,11,1981,11,DM,F,35,46,Dipodomys,merriami,Rodent,Control
3691,1,11,1981,13,NL,F,29,118,Neotoma,albigula,Rodent,Short-term Krat Exclosure
3692,1,11,1981,20,DM,M,37,38,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
3693,1,11,1981,24,NL,F,32,192,Neotoma,albigula,Rodent,Rodent Exclosure
3694,1,11,1981,24,DO,F,34,49,Dipodomys,ordii,Rodent,Rodent Exclosure
3695,1,11,1981,11,DS,M,50,130,Dipodomys,spectabilis,Rodent,Control
3696,1,11,1981,8,DO,F,35,57,Dipodomys,ordii,Rodent,Control
3697,1,11,1981,10,DM,M,36,49,Dipodomys,merriami,Rodent,Rodent Exclosure
3698,1,11,1981,19,RM,M,16,11,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
3699,1,11,1981,20,OL,M,19,37,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
3700,1,11,1981,23,CQ,NA,NA,NA,Callipepla,squamata,Bird,Rodent Exclosure
3701,1,11,1981,13,OT,M,22,24,Onychomys,torridus,Rodent,Short-term Krat Exclosure
3702,1,11,1981,22,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
3703,1,11,1981,19,PF,M,15,9,Perognathus,flavus,Rodent,Long-term Krat Exclosure
3704,1,11,1981,17,OL,F,19,34,Onychomys,leucogaster,Rodent,Control
3705,1,11,1981,22,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Control
3706,1,11,1981,20,AB,NA,NA,NA,Amphispiza,bilineata,Bird,Short-term Krat Exclosure
3707,1,11,1981,11,PP,F,20,14,Chaetodipus,penicillatus,Rodent,Control
3708,1,11,1981,18,DS,M,48,130,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
3709,1,11,1981,19,RM,F,16,12,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
