record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
8809,2,4,1984,16,RM,F,14,7,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
8810,2,4,1984,12,DS,F,53,122,Dipodomys,spectabilis,Rodent,Control
8811,2,4,1984,22,OT,M,21,25,Onychomys,torridus,Rodent,Control
8812,2,4,1984,24,DO,F,35,44,Dipodomys,ordii,Rodent,Rodent Exclosure
8813,2,4,1984,16,RM,M,16,7,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
8814,2,4,1984,12,DM,F,35,37,Dipodomys,merriami,Rodent,Control
8815,2,4,1984,22,DM,F,37,36,Dipodomys,merriami,Rodent,Control
8816,2,4,1984,14,SS,NA,NA,NA,Spermophilus,spilosoma,Rodent,Control
8817,2,4,1984,17,DM,F,36,38,Dipodomys,merriami,Rodent,Control
8818,2,4,1984,13,DM,F,37,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
8819,2,4,1984,12,RM,M,17,10,Reithrodontomys,megalotis,Rodent,Control
8820,2,4,1984,23,RM,F,17,8,Reithrodontomys,megalotis,Rodent,Rodent Exclosure
8821,2,4,1984,19,RM,F,17,7,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
8822,2,4,1984,12,OT,F,20,21,Onychomys,torridus,Rodent,Control
8823,2,4,1984,14,DM,M,37,46,Dipodomys,merriami,Rodent,Control
8824,2,4,1984,12,OT,M,21,20,Onychomys,torridus,Rodent,Control
8825,2,4,1984,20,DM,F,37,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
8826,2,4,1984,14,DM,F,36,42,Dipodomys,merriami,Rodent,Control
8827,2,4,1984,18,DS,F,52,113,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
8828,2,4,1984,21,PM,F,21,27,Peromyscus,maniculatus,Rodent,Long-term Krat Exclosure
8829,2,4,1984,19,RM,M,17,9,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
8830,2,4,1984,22,DS,F,49,107,Dipodomys,spectabilis,Rodent,Control
8831,2,4,1984,14,OL,F,21,28,Onychomys,leucogaster,Rodent,Control
8832,2,4,1984,18,DM,F,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
8833,2,4,1984,20,DS,F,51,116,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
8834,2,4,1984,13,DS,M,52,144,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
8835,2,4,1984,18,DM,M,37,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
8836,2,4,1984,22,DS,M,49,124,Dipodomys,spectabilis,Rodent,Control
8837,2,4,1984,13,DS,M,53,141,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
8838,2,4,1984,24,DM,F,37,37,Dipodomys,merriami,Rodent,Rodent Exclosure
8839,2,4,1984,18,DM,F,38,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
8840,2,4,1984,20,DS,M,50,140,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
8841,2,4,1984,12,DM,F,37,37,Dipodomys,merriami,Rodent,Control
8842,2,4,1984,20,DS,F,NA,119,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
8843,2,4,1984,21,RM,M,16,10,Reithrodontomys,megalotis,Rodent,Long-term Krat Exclosure
